K¸rzel;Warengruppe;Einheit;Preis;Jahr;Monat;Kunde;Spalte1;;
1014;Quiche;250;12,30;2019;September;Bio Company;;;
1014;Quiche;600;12,30;2019;September;Budnikowsky;;;
1014;Quiche;150;12,30;2019;September;Migros;;;
1014;Quiche;500;12,30;2019;Oktober;B&M;;;
1014;Quiche;250;12,30;2019;Oktober;Bio Company;;;
1014;Quiche;600;12,30;2019;Oktober;Budnikowsky;;;
1014;Quiche;150;12,30;2019;Oktober;Migros;;;
1014;Quiche;500;12,30;2019;November;B&M;;;
1014;Quiche;250;12,30;2019;November;Bio Company;;;
1014;Quiche;600;12,30;2019;November;Budnikowsky;;;
1014;Quiche;150;12,30;2019;November;Migros;;;
1014;Quiche;500;12,30;2019;Dezember;B&M;;;
1014;Quiche;250;12,30;2019;Dezember;Bio Company;;;
1014;Quiche;600;12,30;2019;Dezember;Budnikowsky;;;
1014;Quiche;150;12,30;2019;Dezember;Migros;;;
1026;Salate bio;800;2,60;2019;Januar;Aldi Nord;;;
1026;Salate bio;800;2,60;2019;Februar;Aldi Nord;;;
1026;Salate bio;800;2,60;2019;M‰rz;Aldi Nord;;;
1026;Salate bio;800;2,60;2019;April;Aldi Nord;;;
1026;Salate bio;800;2,60;2019;Mai;Aldi Nord;;;
1026;Salate bio;100;2,60;2019;Mai;Frischkauf;;;
1026;Salate bio;800;2,60;2019;Juni;Aldi Nord;;;
1026;Salate bio;100;2,60;2019;Juni;Frischkauf;;;
1026;Salate bio;800;2,60;2019;Juli;Aldi Nord;;;
1026;Salate bio;100;2,60;2019;Juli;Frischkauf;;;
1026;Salate bio;800;2,60;2019;August;Aldi Nord;;;
1026;Salate bio;100;2,60;2019;August;Frischkauf;;;
1026;Salate bio;800;2,60;2019;September;Aldi Nord;;;
1026;Salate bio;100;2,60;2019;September;Frischkauf;;;
1026;Salate bio;800;2,60;2019;Oktober;Aldi Nord;;;
1026;Salate bio;100;2,60;2019;Oktober;Frischkauf;;;
1026;Salate bio;800;2,60;2019;November;Aldi Nord;;;
1026;Salate bio;100;2,60;2019;November;Frischkauf;;;
1026;Salate bio;800;2,60;2019;Dezember;Aldi Nord;;;
1026;Salate bio;800;2,60;2019;Dezember;Aldi Nord;;;
1026;Salate bio;100;2,60;2019;Dezember;Frischkauf;;;
1009;Salate konventionell;5000;1,89;2019;Januar;B&M;;;
1009;Salate konventionell;8000;1,89;2019;Januar;Bio Company;;;
1009;Salate konventionell;3000;1,89;2019;Januar;Edeka Berlin;;;
1009;Salate konventionell;3000;1,89;2019;Januar;Frischkauf;;;
1009;Salate konventionell;3500;1,89;2019;Januar;HFG;;;
1009;Salate konventionell;40000;1,89;2019;Januar;HIT;;;
1009;Salate konventionell;3500;1,89;2019;Januar;Migros;;;
1009;Salate konventionell;6000;1,89;2019;Februar;B&M;;;
1009;Salate konventionell;8000;1,89;2019;Februar;Bio Company;;;
1009;Salate konventionell;3000;1,89;2019;Februar;Edeka Berlin;;;
1009;Salate konventionell;24000;1,89;2019;Februar;Frischeplattform;;;
1009;Salate konventionell;3000;1,89;2019;Februar;Frischkauf;;;
1009;Salate konventionell;3500;1,89;2019;Februar;HFG;;;
1009;Salate konventionell;50000;1,89;2019;Februar;HIT;;;
1009;Salate konventionell;2400;1,89;2019;Februar;LIDL;;;
1009;Salate konventionell;3500;1,89;2019;Februar;Migros;;;
1009;Salate konventionell;3200;1,89;2019;Februar;Norma;;;
1009;Salate konventionell;7000;1,89;2019;M‰rz;B&M;;;
1009;Salate konventionell;4500;1,89;2019;M‰rz;B‰ckerei Wolf;;;
1009;Salate konventionell;20000;1,89;2019;M‰rz;Backwerk;;;
1009;Salate konventionell;8000;1,89;2019;M‰rz;Bio Company;;;
1009;Salate konventionell;3000;1,89;2019;M‰rz;Edeka Berlin;;;
1009;Salate konventionell;24000;1,89;2019;M‰rz;Frischeplattform;;;
1009;Salate konventionell;6000;1,89;2019;M‰rz;Frischkauf;;;
1009;Salate konventionell;3500;1,89;2019;M‰rz;HFG;;;
1009;Salate konventionell;70000;1,89;2019;M‰rz;HIT;;;
1009;Salate konventionell;2400;1,89;2019;M‰rz;LIDL;;;
